1	27028	97
28	497132	95
32	558739	91
34	589335	89
35	604980	85
127	2087208	81
129	2115817	79
179	2844870	78
180	2858799	75
184	2913292	73
187	2953074	71
188	2966902	70
190	2994995	68
201	3145700	66
204	3187076	65
213	3307191	64
214	3320059	61
215	3334399	60
223	3442240	57
337	4991321	54
343	5068642	53
348	5133361	50
350	5159056	48
352	5184314	46
710	10111200	42
879	12404653	41
882	12442008	39
892	12568121	38
915	12857541	37
920	12920361	36
922	12945674	34
924	12971285	32
2576	34897677	30
3520	46989839	26
3533	47136298	25
3560	47432050	24
3569	47534558	22
3582	47675563	21
8576	109822315	20
8587	109940999	19
8646	110560017	17
17650	218242619	16
21307	261132086	15
21351	261593610	14
21372	261810701	13
34182	407257871	12
37152	439237844	10
46290	540277530	9
88675	1008653306	8
88783	1009716316	7
89606	1018149817	6
235713	2553324983	5
272081	2916477969	4
508725	5288778758	3
807570	8199190482	2
8665438	67032986583	1
10083796	76432612807	0
