1	45212	102
4	91226	100
5	103474	98
6	114447	97
7	124849	96
8	134736	95
10	165877	89
12	197414	88
13	211664	80
53	689453	75
59	753108	73
63	790602	71
65	810263	67
66	819269	66
68	839145	63
71	874512	62
72	886275	61
198	2246312	60
199	2256978	58
200	2267688	56
208	2346647	55
209	2357845	54
220	2462764	53
224	2497347	52
227	2522760	51
229	2542186	50
230	2552746	48
292	3204042	47
296	3243855	46
419	4506524	44
420	4516143	42
422	4535442	40
430	4612566	39
448	4788587	38
450	4807446	36
460	4901476	34
659	6857367	33
664	6899649	31
989	9920951	30
993	9955511	29
1014	10122837	28
1027	10232656	27
1050	10403430	26
1347	12979876	25
2053	19260699	24
3012	27659834	23
3026	27774532	22
3045	27924716	20
3084	28200925	19
3088	28229841	18
3098	28303624	17
3105	28351815	16
3109	28386370	15
3126	28515372	14
3212	29118013	13
7484	62646136	12
7510	62815760	11
7726	64282856	10
7912	65558295	9
8867	72637112	8
8953	73249919	7
9028	73754636	6
9175	74730735	5
30744	237652189	4
30906	238778085	3
112070	821682332	2
293805	2081262531	1
20000000	122823335863	1
